query_name,plan_size,true_cost,compass_est,psql_est,plan
13b_28,6,5802802.600000001,15832.0,19910.4,hd-ss s-ss ca-ss cd-ss d-ss
13b_29,6,5802470.600000001,15832.0,19848.4,hd-ss s-ss ca-ss cd-ss d-ss
13b_3,6,5802126.600000001,15832.0,19798.4,hd-ss s-ss ca-ss cd-ss d-ss
13b_30,6,5802514.600000001,15832.0,19866.4,hd-ss s-ss ca-ss cd-ss d-ss
13b_31,6,5801920.600000001,15832.0,19776.4,hd-ss s-ss ca-ss cd-ss d-ss
13b_32,6,5801652.600000001,15832.0,19748.4,hd-ss s-ss ca-ss cd-ss d-ss
13b_33,6,5801918.600000001,15832.0,19772.4,hd-ss s-ss ca-ss cd-ss d-ss
13b_34,6,5802742.600000001,15832.0,19910.4,hd-ss s-ss ca-ss cd-ss d-ss
13b_35,6,5803124.600000001,15832.0,19956.4,hd-ss s-ss ca-ss cd-ss d-ss
13b_36,6,5802526.600000001,15832.0,19848.4,hd-ss s-ss ca-ss cd-ss d-ss
13b_37,6,5802032.600000001,15832.0,19772.4,hd-ss s-ss ca-ss cd-ss d-ss
13b_38,6,5802700.600000001,15832.0,19898.4,hd-ss s-ss ca-ss cd-ss d-ss
13b_39,6,5802146.600000001,15832.0,19818.4,hd-ss s-ss ca-ss cd-ss d-ss
13b_4,6,5801844.600000001,15832.0,19754.4,hd-ss s-ss ca-ss cd-ss d-ss
13b_40,6,5801610.600000001,15832.0,19734.4,hd-ss s-ss ca-ss cd-ss d-ss
13b_41,6,5801752.600000001,15832.0,19770.4,hd-ss s-ss ca-ss cd-ss d-ss
13b_42,6,5801676.600000001,15832.0,19736.4,hd-ss s-ss ca-ss cd-ss d-ss
13b_43,6,5802246.600000001,15832.0,19836.4,hd-ss s-ss ca-ss cd-ss d-ss
13b_44,6,5802406.600000001,15832.0,19842.4,hd-ss s-ss ca-ss cd-ss d-ss
13b_45,6,5801970.600000001,15832.0,19780.4,hd-ss s-ss ca-ss cd-ss d-ss
13b_46,6,5803018.600000001,15832.0,19952.4,hd-ss s-ss ca-ss cd-ss d-ss
13b_47,6,5801780.600000001,15832.0,19762.4,hd-ss s-ss ca-ss cd-ss d-ss
13b_48,6,5802090.600000001,15832.0,19778.4,hd-ss s-ss ca-ss cd-ss d-ss
