Query,Join_size,True,Psql_est,Compass_estPlan
10_44_5,4,110522.0,26112.0,-1,"['customer-c', 'lineitem-l', 'nation-n', 'orders-o']"
10_45_0,2,150000.0,62500.0,-1,"['customer-c', 'nation-n']"
10_45_1,2,122317.0,39585.0,-1,"['customer-c', 'orders-o']"
10_45_2,2,443753.0,46590.0,-1,"['lineitem-l', 'orders-o']"
10_45_3,3,122317.0,39585.0,-1,"['customer-c', 'nation-n', 'orders-o']"
10_45_4,3,443753.0,46590.0,-1,"['customer-c', 'lineitem-l', 'orders-o']"
10_45_5,4,443753.0,46590.0,-1,"['customer-c', 'lineitem-l', 'nation-n', 'orders-o']"
10_46_0,2,150000.0,62500.0,-1,"['customer-c', 'nation-n']"
10_46_1,2,119786.0,38796.0,-1,"['customer-c', 'orders-o']"
10_46_2,2,439981.0,45661.0,-1,"['lineitem-l', 'orders-o']"
10_46_3,3,119786.0,38796.0,-1,"['customer-c', 'nation-n', 'orders-o']"
10_46_4,3,439981.0,45661.0,-1,"['customer-c', 'lineitem-l', 'orders-o']"
10_46_5,4,439981.0,45661.0,-1,"['customer-c', 'lineitem-l', 'nation-n', 'orders-o']"
10_47_0,2,150000.0,62500.0,-1,"['customer-c', 'nation-n']"
10_47_1,2,119481.0,39480.0,-1,"['customer-c', 'orders-o']"
10_47_2,2,440266.0,46466.0,-1,"['lineitem-l', 'orders-o']"
10_47_3,3,119481.0,39480.0,-1,"['customer-c', 'nation-n', 'orders-o']"
10_47_4,3,440266.0,46466.0,-1,"['customer-c', 'lineitem-l', 'orders-o']"
10_47_5,4,440266.0,46466.0,-1,"['customer-c', 'lineitem-l', 'nation-n', 'orders-o']"
10_48_0,2,150000.0,62500.0,-1,"['customer-c', 'nation-n']"
10_48_1,2,65042.0,21585.0,-1,"['customer-c', 'orders-o']"
10_48_2,2,110522.0,25405.0,-1,"['lineitem-l', 'orders-o']"
10_48_3,3,65042.0,21585.0,-1,"['customer-c', 'nation-n', 'orders-o']"
10_48_4,3,110522.0,25405.0,-1,"['customer-c', 'lineitem-l', 'orders-o']"
10_48_5,4,110522.0,25405.0,-1,"['customer-c', 'lineitem-l', 'nation-n', 'orders-o']"
10_49_0,2,150000.0,62500.0,-1,"['customer-c', 'nation-n']"
10_49_1,2,120430.0,38977.0,-1,"['customer-c', 'orders-o']"
