query,join_size,true,psql_est,compass_est,plan
50_6,4,307213,169409,1.05089e+07,"['movie_companies-mc', 'movie_info-mi', 'movie_keyword-mk', 'title-t']"
51_0,2,917428,543495,934753,"['movie_companies-mc', 'title-t']"
51_1,2,10383441,6059272,9.97094e+06,"['movie_info-mi', 'title-t']"
51_2,2,8209,4489,9934.99,"['movie_keyword-mk', 'title-t']"
51_3,3,10936,11878,50569.4,"['movie_companies-mc', 'movie_keyword-mk', 'title-t']"
51_4,3,272734,200739,1.59608e+06,"['movie_info-mi', 'movie_keyword-mk', 'title-t']"
51_5,3,14623463,16030872,4.82319e+07,"['movie_companies-mc', 'movie_info-mi', 'title-t']"
51_6,4,658557,350358,5.18408e+07,"['movie_companies-mc', 'movie_info-mi', 'movie_keyword-mk', 'title-t']"
52_0,2,20455,15312,17140,"['movie_companies-mc', 'title-t']"
52_1,2,250661,170704,163566,"['movie_info-mi', 'title-t']"
52_2,2,271,126,391.026,"['movie_keyword-mk', 'title-t']"
52_3,3,372,335,11559,"['movie_companies-mc', 'movie_keyword-mk', 'title-t']"
52_4,3,8543,5655,170937,"['movie_info-mi', 'movie_keyword-mk', 'title-t']"
52_5,3,370041,451627,3.16644e+06,"['movie_companies-mc', 'movie_info-mi', 'title-t']"
52_6,4,19006,9871,9.07751e+06,"['movie_companies-mc', 'movie_info-mi', 'movie_keyword-mk', 'title-t']"
53_0,2,305063,212221,319701,"['cast_info-ci', 'title-t']"
53_1,2,495374,240671,450831,"['movie_companies-mc', 'title-t']"
53_2,2,1191990,604106,1.1067e+06,"['movie_info-mi', 'title-t']"
53_3,3,1816973,1246710,2.49696e+06,"['cast_info-ci', 'movie_companies-mc', 'title-t']"
53_4,3,2647115,1889976,4.45182e+06,"['cast_info-ci', 'movie_info-mi', 'title-t']"
53_5,3,1837455,1666561,8.43624e+06,"['movie_companies-mc', 'movie_info-mi', 'title-t']"
53_6,4,24675801,9790367,5.56477e+08,"['cast_info-ci', 'movie_companies-mc', 'movie_info-mi', 'title-t']"
54_0,2,2609129,1534782,2.72069e+06,"['cast_info-ci', 'title-t']"
54_1,2,3036719,1740532,2.82662e+06,"['movie_companies-mc', 'title-t']"
54_2,2,7451973,4368899,6.73953e+06,"['movie_info-mi', 'title-t']"
54_3,3,10905021,9016221,1.35048e+07,"['cast_info-ci', 'movie_companies-mc', 'title-t']"
54_4,3,14802622,13668333,1.89147e+07,"['cast_info-ci', 'movie_info-mi', 'title-t']"
54_5,3,13355828,12052586,2.03137e+07,"['movie_companies-mc', 'movie_info-mi', 'title-t']"
54_6,4,132317651,70804055,1.83469e+09,"['cast_info-ci', 'movie_companies-mc', 'movie_info-mi', 'title-t']"
55_0,2,1170186,839213,1.30491e+06,"['cast_info-ci', 'title-t']"
55_1,2,1798330,951716,1.59977e+06,"['movie_companies-mc', 'title-t']"
55_2,2,4402268,2388898,3.81659e+06,"['movie_info-mi', 'title-t']"
55_3,3,6621484,4930036,6.57601e+06,"['cast_info-ci', 'movie_companies-mc', 'title-t']"
55_4,3,9273829,7473794,1.45422e+07,"['cast_info-ci', 'movie_info-mi', 'title-t']"
55_5,3,6991479,6590310,1.43613e+07,"['movie_companies-mc', 'movie_info-mi', 'title-t']"
55_6,4,90649862,38715398,1.22213e+09,"['cast_info-ci', 'movie_companies-mc', 'movie_info-mi', 'title-t']"
56_0,2,2609129,1534782,2.72069e+06,"['cast_info-ci', 'title-t']"
56_1,2,36244344,21349889,2.97337e+07,"['movie_companies-mc', 'title-t']"
56_2,2,41840,25813,46163,"['movie_keyword-mk', 'title-t']"
